SeaDoo GTX 260 Limited;750000р.;17 часов назад;https://www.avito.ru//kaliningrad/vodnyy_transport/seadoo_gtx_260_limited_1621212598
Ямаха fx-140;150000р.;1 час назад;https://www.avito.ru//zelenogradsk/vodnyy_transport/yamaha_fx-140_1950938721
Гидроцикл;580000р.;1 день назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_1780086235
Гидроцикл BRP 260 RS;699000р.;1 день назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_brp_260_rs_1776304367
Гидроцикл;1350000р.;4 дня назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_1907970341
Гидроцикл Yamaha EXR;952800р.;4 дня назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_yamaha_exr_1940084486
Гидроцикл Sea-Doo;448000р.;4 дня назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_sea-doo_1782536993
Гидроцикл yamaha с водными аттракционами;300000р.;1 неделю назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_yamaha_s_vodnymi_attraktsionami_1926979671
Brp sea doo rxp260 rs;660000р.;1 неделю назад;https://www.avito.ru//kaliningrad/vodnyy_transport/brp_sea_doo_rxp260_rs_1920050343
BRP seadoo gti;198999р.;1 неделю назад;https://www.avito.ru//kaliningrad/vodnyy_transport/brp_seadoo_gti_1797292482
Yamaha super jet700;130000р.;1 неделю назад;https://www.avito.ru//kaliningrad/vodnyy_transport/yamaha_super_jet700_1780088269
Гидроцикл;250000р.;1 неделю назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_1935911885
Kawasaki JetSki 1100;390000р.;1 неделю назад;https://www.avito.ru//kaliningrad/vodnyy_transport/kawasaki_jetski_1100_1372769286
Продам гидроцикл Bombardier;240000р.;2 недели назад;https://www.avito.ru//kaliningrad/vodnyy_transport/prodam_gidrotsikl_bombardier_1030296821
BRP RXP 215;280000р.;2 недели назад;https://www.avito.ru//kaliningrad/vodnyy_transport/brp_rxp_215_1938854464
Гидроцикл Yamaha MJ-800GP;260000р.;3 недели назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_yamaha_mj-800gp_1942112289
Гидроцикл BRP 260 rs;950000р.;3 недели назад;https://www.avito.ru//kaliningrad/vodnyy_transport/gidrotsikl_brp_260_rs_1811616349
RXP 215 sea doo;375000р.;3 недели назад;https://www.avito.ru//kaliningrad/vodnyy_transport/rxp_215_sea_doo_1174424508
Sea doo 3d;200000р.;3 недели назад;https://www.avito.ru//kaliningrad/vodnyy_transport/sea_doo_3d_1181912603
Yamaha;950000р.;2 недели назад;https://www.avito.ru//kaliningrad/vodnyy_transport/yamaha_1922493455
Продам подводный буксировщик;50000р.;6 июня 20:15;https://www.avito.ru//kaliningradskaya_oblast_pionerskiy/vodnyy_transport/prodam_podvodnyy_buksirovschik_1857254531
Продам гидроцикл brp rxt 155;300000р.;1 день назад;https://www.avito.ru//seredka/vodnyy_transport/prodam_gidrotsikl_brp_rxt_155_1955230228
Гидроцикл yamaha;390000р.;6 дней назад;https://www.avito.ru//pskov/vodnyy_transport/gidrotsikl_yamaha_1314702655
Bombardir 3d 110 л\с 2006г;235000р.;6 дней назад;https://www.avito.ru//pskov/vodnyy_transport/bombardir_3d_110_ls_2006g_1781840589
Bombardier GTX limited;235000р.;17 часов назад;https://www.avito.ru//pskov/vodnyy_transport/bombardier_gtx_limited_999079247
RXT 215;385000р.;8 часов назад;https://www.avito.ru//pskov/vodnyy_transport/rxt_215_1963300321
Sea Doo BRP rxp 260;780000р.;2 недели назад;https://www.avito.ru//pskov/vodnyy_transport/sea_doo_brp_rxp_260_1944994199
